CSDUID,DGUID
2421030,2021A00052421030
2421035,2021A00052421035
2421040,2021A00052421040
2421045,2021A00052421045
2421902,2021A00052421902
2421904,2021A00052421904
2422005,2021A00052422005
2422010,2021A00052422010
2422015,2021A00052422015
2422020,2021A00052422020
2422025,2021A00052422025
2422030,2021A00052422030
2422035,2021A00052422035
2422040,2021A00052422040
2422045,2021A00052422045
2422902,2021A00052422902
2423015,2021A00052423015
2423027,2021A00052423027
2423057,2021A00052423057
2423072,2021A00052423072
2423802,2021A00052423802
2425213,2021A00052425213
2426005,2021A00052426005
2426010,2021A00052426010
2426015,2021A00052426015
2426022,2021A00052426022
2426030,2021A00052426030
2426035,2021A00052426035
2426040,2021A00052426040
2426048,2021A00052426048
2426055,2021A00052426055
2426063,2021A00052426063
2426070,2021A00052426070
2427008,2021A00052427008
2427015,2021A00052427015
2427028,2021A00052427028
2427035,2021A00052427035
2427043,2021A00052427043
2427050,2021A00052427050
2427055,2021A00052427055
2427060,2021A00052427060
2427065,2021A00052427065
2427070,2021A00052427070
2428005,2021A00052428005
2428015,2021A00052428015
2428020,2021A00052428020
2428025,2021A00052428025
2428030,2021A00052428030
2428035,2021A00052428035
2428040,2021A00052428040
2428045,2021A00052428045
2428053,2021A00052428053
2428060,2021A00052428060
2428065,2021A00052428065
2428070,2021A00052428070
2428075,2021A00052428075
2429005,2021A00052429005
2429013,2021A00052429013
2429020,2021A00052429020
2429025,2021A00052429025
2429030,2021A00052429030
2429038,2021A00052429038
2429045,2021A00052429045
2429050,2021A00052429050
2429057,2021A00052429057
2429065,2021A00052429065
2429073,2021A00052429073
2429095,2021A00052429095
2429100,2021A00052429100
2429112,2021A00052429112
2429120,2021A00052429120
2429125,2021A00052429125
2430005,2021A00052430005
